koer	dog
kass	cat
hamster	hamster
küülik	rabbit
papagoi	parrot
kala	fish
lind	bird
hobune	horse
lehm	cow
siga	pig
lammas	sheep
kits	goat
kana	chicken
kukk	rooster
part	duck
hani	goose
kalkun	turkey
karu	bear
hunt	wolf
rebane	fox
jänes	hare
orav	squirrel
siil	hedgehog
põder	elk / moose
hirv	deer
metssiga	wild boar
ilves	lynx
mäger	badger
kobras	beaver
mesilane	bee
sipelgas	ant
liblikas	butterfly
öölane	moth
ämblik	spider
kärbes	fly
sääsk	mosquito
vares	crow
varblane	sparrow
tuvi	pigeon
kajakas	seagull
kotkas	eagle
öökull	owl
luik	swan
delfiin	dolphin
vaal	whale
hüljes	seal
hai	shark
konn	frog
madu	snake
sisalik	lizard
kilpkonn	turtle
