leib	bread
sai	white bread/bun
piim	milk
või	butter
juust	cheese
muna	egg
liha	meat
kana	chicken
sealiha	pork
veiseliha	beef
kala	fish
kartul	potato
porgand	carrot
sibul	onion
küüslauk	garlic
tomat	tomato
kurk	cucumber
kapsas	cabbage
paprika	bell pepper
seen	mushroom
oad	beans
herned	peas
riis	rice
pasta	pasta
jahu	flour
suhkur	sugar
sool	salt
pipar	pepper
äädikas	vinegar
õli	oil
maitseaine	spice/seasoning
tee	tea
kohv	coffee
mahl	juice
vesi	water
vein	wine
õlu	beer
puuvili	fruit
õun	apple
banaan	banana
apelsin	orange
pirn	pear
viinamari	grape
maasikas	strawberry
mustikas	blueberry
sidrun	lemon
melon	melon
kirss	cherry
supp	soup
salat	salad
praad	roast/steak
pannkook	pancake
puder	porridge
võileib	sandwich
pirukas	pastry/pie
kook	cake
küpsis	cookie
magustoit	dessert
jäätis	ice cream
moos	jam
mesi	honey
koor	cream
jogurt	yogurt
hapukoor	sour cream
võileivamaterjal	sandwich filling
kaste	sauce
maitseaed	herb garden
till	dill
petersell	parsley
basiilik	basil
