olema	to be
saama	to get; to be able to
tegema	to do, to make
minema	to go
tulema	to come
tahtma	to want
võima	to be able to, may
pidama	to have to, must
teadma	to know (a fact)
nägema	to see
andma	to give
ütlema	to say
rääkima	to speak, to talk
küsima	to ask
vastama	to answer
mõtlema	to think (about something)
arvama	to think (to hold an opinion)
uskuma	to believe
tundma	to feel; to know (a person)
leidma	to find
otsima	to search, to look for
vaatama	to watch, to look at
kuulama	to listen
kuulma	to hear
lugema	to read, to count
kirjutama	to write
õppima	to learn, to study
õpetama	to teach
töötama	to work
mängima	to play
sööma	to eat
jooma	to drink
magama	to sleep
ärkama	to wake up
elama	to live
surema	to die
sündima	to be born
kasvama	to grow
muutuma	to change (become different)
muutma	to change (something)
jääma	to stay, to remain
hakkama	to begin, to start
lõpetama	to finish, to end
algama	to begin (itself)
lõppema	to come to an end
seisma	to stand
istuma	to sit
kõndima	to walk
jooksma	to run
sõitma	to drive, to ride
lendama	to fly
ujuma	to swim
tantsima	to dance
laulma	to sing
naerma	to laugh
nutma	to cry
naeratama	to smile
armastama	to love
soovima	to wish
vajama	to need
kasutama	to use
valmistama	to prepare, to make
ostma	to buy
müüma	to sell
maksma	to pay, to cost
võtma	to take
panema	to put
viima	to take/carry away
tooma	to bring
saatma	to send
helistama	to call (by phone)
lubama	to allow, to promise
keelama	to forbid
aitama	to help
proovima	to try (to try something out)
üritama	to try (to attempt)
unustama	to forget
huvitama	to interest
kartma	to be afraid
muretsema	to worry
lootma	to hope
valima	to choose
otsustama	to decide
korraldama	to organize
ehitama	to build
looma	to create
hoidma	to hold, to keep
näitama	to show
avama	to open
